[2024-08-31 13:56:23:826][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 3 JPA repository interfaces.
[2024-08-31 13:56:24:1154][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2024-08-31 13:56:24:1160][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-08-31 13:56:24:1160][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-08-31 13:56:24:1160][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2024-08-31 13:56:24:1220][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-08-31 13:56:24:1220][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 774 ms
[2024-08-31 13:56:24:1314][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-08-31 13:56:24:1513][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-08-31 13:56:24:1565][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-08-31 13:56:24:1597][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
[2024-08-31 13:56:24:1715][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2024-08-31 13:56:24:1788][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2024-08-31 13:56:25:2136][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2024-08-31 13:56:25:2142][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-08-31 13:56:25:2392][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-08-31 13:56:25:2602][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-08-31 13:56:25:2614][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2024-08-31 13:56:25:2624][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 2.502 seconds (JVM running for 2.928)
[2024-08-31 13:58:36:133456][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-08-31 13:58:36:133457][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2024-08-31 13:58:36:133461][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2024-08-31 14:03:52:389][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 17.0.12 on BaekSeungHyun with PID 23364 (D:\IntelliJ_workspace\WeatherDiary\WeatherDiary\build\classes\java\main started by PC in D:\IntelliJ_workspace\WeatherDiary)
[2024-08-31 14:03:52:391][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2024-08-31 14:03:52:762][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-08-31 14:03:52:803][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36 ms. Found 3 JPA repository interfaces.
[2024-08-31 14:03:53:1135][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2024-08-31 14:03:53:1141][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-08-31 14:03:53:1142][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-08-31 14:03:53:1142][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2024-08-31 14:03:53:1208][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-08-31 14:03:53:1208][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 787 ms
[2024-08-31 14:03:53:1302][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
